"selenium","237"
"selenium-aes","266"
"seleniumhq","561"
"seleniumhtmlreport","181"
"seleniumrc-plugin","85"
"serenity","70"
"setenv","1419"
"sfee","7"
"shelve-project-plugin","369"
"show-build-parameters","130"
"sicci_for_xcode","30"
"sidebar-link","882"
"signal-killer","16"
"sitemonitor","255"
"slave-squatter","41"
"slave-status","363"
"sloccount","511"
"sonar","2312"
"sounds","171"
"speaks","90"
"ssh","885"
"ssh-slaves","14025"
"staf","31"
"starteam","77"
"startup-trigger-plugin","120"
"status-view","287"
"statusmonitor","803"
"storable-configs-plugin","71"
"subversion","13983"
"svn-release-mgr","851"
"svn-tag","1414"
"svncompat13","56"
"svncompat14","72"
"svnpublisher","376"
"swarm","105"
"synergy","184"
"systemloadaverage-monitor","263"
"tasks","1736"
"template-project","567"
"terminal","142"
"testabilityexplorer","143"
"testlink","154"
"testng-plugin","351"
"text-finder","792"
"tfs","166"
"thinBackup","356"
"throttle-concurrents","127"
"timestamper","651"
"tmpcleaner","145"
"token-macro","226"
"toolenv","184"
"trac","709"
"tracking-svn","199"
"translation","56"
"tusarnotifier","7"
"tuxdroid","17"
"twitter","278"
"ui-samples-plugin","149"
"unicorn","13"
"unity-asset-server","3"
"url-change-trigger","550"
"utplsql","16"
"validating-string-parameter","149"
"versionnumber","658"
"view-job-filters","482"
"viewVC","480"
"violations","2106"
"virtualbox","152"
"vmware","240"
"vss","107"
"warnings","2433"
"was-builder","93"
"webtestpresenter","101"
"windmill","28"
"ws-cleanup","165"
"xfpanel","535"
"xshell","124"
"xunit","1506"
"xvnc","518"
"zentimestamp","154"
