"1.411","24"
"1.410 (private)","27"
"1.410","2463"
"1.409 (private)","2464"
"1.409","3526"
"1.408 (private)","3528"
"1.408","4260"
"1.407","4469"
"1.406 (private)","4470"
"1.406","4897"
"1.405 (private)","4898"
"1.405","5400"
"1.404","5836"
"1.403","6175"
"1.401 (private)","6176"
"1.401","6459"
"1.400.0.6","6463"
"1.400 (private)","6467"
"1.400","6675"
"1.399","6913"
"1.398 (private)","6914"
"1.398","7024"
"1.397","7127"
"1.396","7270"
"1.395.1 (private)","7286"
"1.395.1","7886"
"1.395","9505"
"1.394","9933"
"1.393","10420"
"1.392 (private)","10425"
"1.392","10692"
"1.391 (private)","10696"
"1.391","10764"
"1.390","10784"
"1.389","11061"
"1.388","11203"
"1.387","11318"
"1.386","12025"
"1.385","12164"
"1.384","12415"
"1.383","12611"
"1.382","12704"
"1.381 (private)","12705"
"1.381","12979"
"1.380","13073"
"1.379 (private)","13075"
"1.379","13317"
"1.378","13448"
"1.377","13622"
"1.376","13759"
"1.375","13877"
"1.374","14048"
"1.373","14151"
"1.372","14261"
"1.371","14348"
"1.370","14373"
"1.369","14489"
"1.368","14585"
