"0","872"
"1","1640"
"2","7507"
"3","846"
"4","940"
"5","471"
"6","400"
"7","179"
"8","286"
"9","124"
"10","226"
"11","90"
"12","102"
"13","72"
"14","77"
"15","79"
"16","85"
"17","44"
"18","50"
"19","25"
"20","65"
"21","25"
"22","31"
"23","18"
"24","25"
"25","28"
"26","14"
"27","11"
"28","16"
"29","10"
"30","14"
"31","8"
"32","21"
"33","14"
"34","7"
"35","10"
"36","6"
"37","8"
"38","3"
"39","3"
"40","3"
"41","5"
"42","4"
"43","5"
"44","7"
"45","3"
"46","5"
"47","2"
"48","6"
"49","5"
"50","2"
"51","4"
"52","2"
"53","4"
"54","5"
"55","1"
"56","2"
"57","2"
"58","1"
"59","2"
"61","2"
"62","2"
"63","2"
"65","1"
"66","3"
"67","1"
"68","1"
"69","2"
"71","2"
"72","2"
"75","2"
"78","1"
"79","2"
"80","2"
"81","1"
"82","3"
"84","1"
"85","2"
"87","1"
"90","1"
"95","3"
"97","1"
"99","1"
"100","1"
"106","2"
"107","1"
"108","1"
"112","1"
"120","3"
"124","1"
"125","1"
"126","1"
"127","1"
"129","1"
"133","1"
"136","1"
"144","1"
"145","1"
"148","1"
"149","1"
"152","1"
"154","1"
"160","1"
"166","1"
"183","1"
"197","1"
"221","2"
"226","1"
"240","1"
"241","1"
"265","2"
"540","1"
"1479","1"
