"0","926"
"1","1696"
"2","7498"
"3","823"
"4","918"
"5","457"
"6","373"
"7","181"
"8","282"
"9","113"
"10","220"
"11","81"
"12","87"
"13","65"
"14","79"
"15","65"
"16","67"
"17","47"
"18","45"
"19","22"
"20","70"
"21","31"
"22","30"
"23","11"
"24","24"
"25","14"
"26","14"
"27","13"
"28","14"
"29","11"
"30","12"
"31","7"
"32","14"
"33","5"
"34","12"
"35","12"
"36","11"
"37","8"
"38","3"
"39","3"
"40","6"
"41","7"
"42","3"
"43","5"
"44","7"
"45","3"
"46","5"
"47","2"
"48","5"
"49","1"
"50","2"
"51","5"
"52","1"
"53","2"
"54","2"
"55","2"
"56","1"
"57","2"
"58","3"
"59","1"
"60","2"
"61","3"
"62","1"
"63","2"
"64","1"
"66","2"
"68","2"
"69","2"
"71","3"
"72","1"
"76","1"
"79","1"
"80","1"
"81","1"
"82","1"
"83","1"
"84","1"
"85","2"
"90","2"
"91","3"
"93","1"
"95","1"
"97","1"
"101","2"
"104","1"
"106","2"
"108","1"
"109","1"
"119","1"
"120","1"
"122","1"
"123","1"
"131","1"
"133","1"
"134","1"
"137","1"
"140","1"
"141","2"
"144","1"
"162","1"
"175","1"
"189","1"
"191","1"
"204","1"
"207","1"
"218","1"
"221","1"
"242","1"
"247","1"
"1085","1"
"1291","1"
